max,min
158,0
number,data
NO.1,60,60,60,51,55,55,55,60,60,60,60,60,60,44,50,58,60,60,60,60,60,60,60,60,44,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,59,60,60,60,60,60,60,60,60,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
NO.2,13,13,13,12,12,12,12,12,14,14,13,14,14,11,12,12,12,14,14,14,14,15,15,13,11,13,14,14,14,14,12,14,15,14,14,13,15,14,14,14,12,13,14,14,14,13,13,13,14,14,12,12,14,14,13,13,13,12,12,14,10,10,13,13,13,13,12,12,12,12,10,10,11,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,11,11,12,12,12,12,12,12,12,12
NO.3,48,48,43,38,39,39,39,43,47,48,48,48,46,38,38,39,45,47,48,52,48,48,48,42,38,46,47,49,52,52,48,48,48,50,51,51,50,49,52,52,48,48,49,48,50,51,49,49,48,52,48,48,48,48,49,51,52,50,50,48,45,45,46,48,51,50,47,49,50,50,45,45,45,49,49,47,47,47,48,50,44,44,44,49,49,49,47,47,47,48,42,42,44,49,49,49,49,47,47,47
NO.4,20,20,20,19,20,20,20,20,22,22,22,24,24,22,20,20,20,22,22,21,26,27,27,21,22,22,22,23,21,21,24,26,27,23,22,24,25,23,21,21,24,24,25,22,21,21,21,21,20,21,22,22,22,22,21,22,24,19,19,20,17,17,20,20,22,20,18,20,19,19,17,17,17,19,19,19,18,18,18,19,17,17,19,19,19,19,19,18,18,18,19,19,19,19,19,19,19,18,18,18
NO.5,62,62,63,58,55,55,55,56,66,68,64,66,68,69,63,57,61,66,68,68,70,69,69,68,69,68,66,68,68,68,71,70,69,68,68,67,67,68,68,68,71,71,68,68,68,67,68,68,68,68,71,71,68,68,69,69,68,71,71,68,59,59,65,67,69,67,67,67,71,71,59,59,65,68,68,67,67,67,67,71,61,61,67,68,68,68,67,67,67,67,61,61,65,68,68,68,68,67,67,67
NO.6,16,16,15,15,15,15,15,15,15,16,16,16,15,15,15,15,15,15,16,17,16,16,16,16,15,15,15,15,17,17,16,16,16,16,16,15,13,15,17,17,16,16,16,16,16,15,15,14,16,17,16,16,16,16,15,15,14,14,14,14,14,14,15,15,15,14,14,13,14,14,14,14,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,14,14,14
NO.7,107,107,107,104,97,97,97,97,97,100,107,108,107,105,105,99,98,97,101,104,108,108,108,107,105,105,97,100,104,104,108,108,108,108,108,107,101,104,104,104,108,108,108,108,108,108,108,107,104,104,108,108,108,108,108,108,109,107,107,104,105,105,108,108,108,108,106,107,107,107,105,105,107,108,108,108,106,106,107,107,107,107,108,108,108,108,108,106,106,107,107,107,108,108,108,108,108,108,106,106
NO.8,24,24,24,22,22,22,22,22,22,22,24,24,24,22,22,22,22,22,22,21,24,24,24,24,22,22,22,22,21,21,24,24,24,24,24,23,22,22,21,21,24,24,24,24,24,23,22,22,21,21,23,24,24,24,23,23,22,22,22,21,22,22,23,24,23,23,22,22,22,22,22,22,23,23,23,23,22,22,22,22,22,22,23,23,23,23,23,22,22,22,23,23,23,23,23,23,23,22,22,22
NO.9,19,19,18,16,16,16,16,16,18,20,18,18,18,18,16,16,17,18,20,20,18,18,18,18,18,18,18,19,20,20,18,18,18,18,18,18,18,19,20,20,18,18,18,18,18,19,19,18,20,20,16,17,18,18,19,21,17,16,16,19,16,16,16,16,21,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
NO.10,20,20,20,20,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,24,20,20,20,20,20,20,20,20,24,24,20,20,20,20,20,20,20,20,24,24,20,20,20,20,20,20,20,20,21,24,20,20,20,20,20,20,17,20,20,20,19,19,20,20,20,20,16,19,20,20,19,19,16,18,18,17,16,16,19,20,16,16,16,18,18,18,17,16,16,19,15,15,15,18,18,18,18,16,16,16
