NO.1,65.0,64.0,65.0,65.0,65.0,64.0
NO.2,54.0,46.0,54.0,54.0,54.0,46.0
NO.3,45.0,44.0,45.0,45.0,45.0,44.0
NO.4,45.0,45.0,45.0,45.0,45.0,45.0
NO.5,48.0,46.0,48.0,48.0,48.0,46.0
NO.6,58.0,55.0,58.0,58.0,58.0,55.0
NO.7,50.0,49.0,50.0,50.0,50.0,49.0
NO.8,61.0,61.0,61.0,61.0,61.0,61.0
NO.9,61.0,53.0,61.0,61.0,61.0,53.0
NO.10,58.0,61.0,58.0,58.0,58.0,61.0
NO.11,41.0,37.0,41.0,41.0,41.0,37.0
NO.12,53.0,56.0,53.0,53.0,53.0,56.0
NO.13,62.0,61.0,62.0,62.0,62.0,61.0
NO.14,62.0,60.0,62.0,62.0,62.0,60.0
NO.15,54.0,55.0,54.0,54.0,54.0,55.0
NO.16,47.0,47.0,47.0,47.0,47.0,47.0
NO.17,47.0,49.0,47.0,47.0,47.0,49.0
NO.18,58.0,57.0,58.0,58.0,58.0,57.0
NO.19,48.0,50.0,48.0,48.0,48.0,50.0
NO.20,47.0,50.0,47.0,47.0,47.0,50.0
NO.21,49.0,52.0,49.0,49.0,49.0,52.0
NO.22,46.0,51.0,46.0,46.0,46.0,51.0
NO.23,54.0,52.0,54.0,54.0,54.0,52.0
NO.24,52.0,55.0,52.0,52.0,52.0,55.0
NO.25,52.0,51.0,52.0,52.0,52.0,51.0
NO.26,57.0,60.0,57.0,57.0,57.0,60.0
NO.27,56.0,53.0,56.0,56.0,56.0,53.0
NO.28,50.0,50.0,50.0,50.0,50.0,50.0
NO.29,54.0,56.0,54.0,54.0,54.0,56.0
NO.30,49.0,48.0,49.0,49.0,49.0,48.0
NO.31,54.0,56.0,54.0,54.0,54.0,56.0
NO.32,54.0,54.0,54.0,54.0,54.0,54.0
NO.33,54.0,56.0,54.0,54.0,54.0,56.0
NO.34,54.0,55.0,54.0,54.0,54.0,55.0
NO.35,44.0,41.0,44.0,44.0,44.0,41.0
NO.36,55.0,53.0,55.0,55.0,55.0,53.0
NO.37,39.0,45.0,39.0,39.0,39.0,45.0
NO.38,54.0,55.0,54.0,54.0,54.0,55.0
NO.39,41.0,45.0,41.0,41.0,41.0,45.0
NO.40,52.0,52.0,52.0,52.0,52.0,52.0
NO.41,48.0,45.0,48.0,48.0,48.0,45.0
NO.42,53.0,52.0,53.0,53.0,53.0,52.0
NO.43,53.0,52.0,53.0,53.0,53.0,52.0
NO.44,49.0,48.0,49.0,49.0,49.0,48.0
NO.45,58.0,52.0,58.0,58.0,58.0,52.0
NO.46,52.0,52.0,52.0,52.0,52.0,52.0
NO.47,52.0,50.0,52.0,52.0,52.0,50.0
NO.48,47.0,48.0,47.0,47.0,47.0,48.0
NO.49,42.0,46.0,42.0,42.0,42.0,46.0
NO.50,50.0,51.0,50.0,50.0,50.0,51.0
NO.51,59.0,57.0,59.0,59.0,59.0,57.0
NO.52,62.0,62.0,62.0,62.0,62.0,62.0
NO.53,57.0,51.0,57.0,57.0,57.0,51.0
NO.54,47.0,49.0,47.0,47.0,47.0,49.0
NO.55,51.0,50.0,51.0,51.0,51.0,50.0
NO.56,59.0,58.0,59.0,59.0,59.0,58.0
NO.57,49.0,49.0,49.0,49.0,49.0,49.0
NO.58,64.0,65.0,64.0,64.0,64.0,65.0
NO.59,50.0,53.0,50.0,50.0,50.0,53.0
NO.60,57.0,56.0,57.0,57.0,57.0,56.0
NO.61,51.0,50.0,51.0,51.0,51.0,50.0
NO.62,51.0,47.0,51.0,51.0,51.0,47.0
NO.63,51.0,51.0,51.0,51.0,51.0,51.0
NO.64,46.0,42.0,46.0,46.0,46.0,42.0
NO.65,56.0,58.0,56.0,56.0,56.0,58.0
