NO.1,45.0,43.0,45.0,45.0,45.0,43.0
NO.2,53.0,51.0,53.0,53.0,53.0,51.0
NO.3,48.0,50.0,48.0,48.0,48.0,50.0
NO.4,47.0,48.0,47.0,47.0,47.0,48.0
NO.5,50.0,47.0,50.0,50.0,50.0,47.0
NO.6,54.0,51.0,54.0,54.0,54.0,51.0
NO.7,49.0,40.0,49.0,49.0,49.0,40.0
NO.8,51.0,48.0,51.0,51.0,51.0,48.0
NO.9,54.0,52.0,54.0,54.0,54.0,52.0
NO.10,56.0,56.0,56.0,56.0,56.0,56.0
NO.11,45.0,45.0,45.0,45.0,45.0,45.0
NO.12,54.0,51.0,54.0,54.0,54.0,51.0
NO.13,52.0,52.0,52.0,52.0,52.0,52.0
NO.14,48.0,49.0,48.0,48.0,48.0,49.0
NO.15,53.0,47.0,53.0,53.0,53.0,47.0
NO.16,46.0,45.0,46.0,46.0,46.0,45.0
NO.17,49.0,45.0,49.0,49.0,49.0,45.0
NO.18,57.0,54.0,57.0,57.0,57.0,54.0
NO.19,45.0,48.0,45.0,45.0,45.0,48.0
NO.20,49.0,45.0,49.0,49.0,49.0,45.0
NO.21,48.0,49.0,48.0,48.0,48.0,49.0
NO.22,46.0,51.0,46.0,46.0,46.0,51.0
NO.23,51.0,49.0,51.0,51.0,51.0,49.0
NO.24,48.0,50.0,48.0,48.0,48.0,50.0
NO.25,53.0,51.0,53.0,53.0,53.0,51.0
NO.26,54.0,52.0,54.0,54.0,54.0,52.0
NO.27,55.0,57.0,55.0,55.0,55.0,57.0
NO.28,50.0,50.0,50.0,50.0,50.0,50.0
NO.29,57.0,59.0,57.0,57.0,57.0,59.0
NO.30,49.0,51.0,49.0,49.0,49.0,51.0
NO.31,49.0,50.0,49.0,49.0,49.0,50.0
NO.32,48.0,51.0,48.0,48.0,48.0,51.0
NO.33,56.0,53.0,56.0,56.0,56.0,53.0
NO.34,55.0,53.0,55.0,55.0,55.0,53.0
NO.35,46.0,47.0,46.0,46.0,46.0,47.0
NO.36,53.0,54.0,53.0,53.0,53.0,54.0
NO.37,48.0,45.0,48.0,48.0,48.0,45.0
NO.38,57.0,57.0,57.0,57.0,57.0,57.0
NO.39,44.0,44.0,44.0,44.0,44.0,44.0
NO.40,50.0,52.0,50.0,50.0,50.0,52.0
NO.41,53.0,54.0,53.0,53.0,53.0,54.0
NO.42,49.0,49.0,49.0,49.0,49.0,49.0
NO.43,53.0,54.0,53.0,53.0,53.0,54.0
NO.44,53.0,53.0,53.0,53.0,53.0,53.0
NO.45,52.0,47.0,52.0,52.0,52.0,47.0
NO.46,53.0,52.0,53.0,53.0,53.0,52.0
