name,data
NO.0,170,170,170,144,156,156,156,170,170,170,170,170,170,125,142,164,170,170,170,170,170,170,170,170,125,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,167,167,170,170,170,170,170,170,170,170,167,167,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
NO.1,113,113,104,88,94,94,94,107,116,113,113,113,110,88,88,91,110,116,113,126,113,113,113,94,88,110,116,116,126,126,113,113,113,113,116,116,120,116,126,126,113,113,113,113,113,116,113,116,113,126,113,113,113,113,116,120,120,120,120,113,110,110,113,113,120,120,116,120,120,120,110,110,110,116,116,113,116,116,116,120,110,110,110,116,116,116,113,116,116,116,104,104,110,116,116,116,116,116,116,116
NO.2,106,106,92,85,99,99,99,99,99,106,106,113,92,85,85,85,99,99,106,113,128,113,113,85,85,92,99,113,113,113,128,120,113,99,113,99,113,113,113,113,128,128,113,99,113,113,106,106,106,113,128,128,99,99,92,106,106,106,106,106,64,64,92,92,106,85,85,85,106,106,64,64,85,99,99,85,85,85,85,106,71,71,85,99,99,99,85,85,85,85,85,85,85,99,99,99,99,85,85,85
NO.3,104,104,106,94,91,91,91,93,110,113,108,110,113,113,104,93,100,110,113,113,115,113,113,113,113,113,110,113,113,113,117,115,113,113,113,113,113,113,113,113,117,117,113,113,113,113,115,113,113,113,119,119,113,113,115,115,113,119,119,113,100,100,111,113,115,113,113,113,119,119,100,100,110,115,115,113,113,113,113,119,104,104,113,115,115,115,113,113,113,113,102,102,110,115,115,115,115,113,113,113
NO.4,168,168,168,164,153,153,153,153,153,157,168,170,168,165,165,156,154,153,159,164,170,170,170,168,165,165,153,157,164,164,170,170,170,170,170,168,159,164,164,164,170,170,170,170,170,170,170,168,164,164,170,170,170,170,170,170,172,168,168,164,165,165,170,170,170,170,167,168,168,168,165,165,168,170,170,170,167,167,168,168,168,168,170,170,170,170,170,167,167,168,168,168,170,170,170,170,170,170,167,167
NO.5,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,161,170,170,170,170,170,170,170,170,161,161,170,170,170,170,170,170,170,170,161,161,170,170,170,170,170,170,170,170,161,161,170,170,170,170,170,170,161,170,170,161,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
NO.6,142,142,142,113,113,113,113,113,142,142,142,142,142,142,113,113,128,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,113,128,142,142,142,142,128,113,113,142,113,113,113,113,142,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
NO.7,113,113,113,113,109,109,109,113,113,117,113,113,113,113,113,113,113,113,117,138,113,113,113,113,113,113,113,113,138,138,113,113,113,113,113,113,113,113,138,138,113,113,113,113,113,113,113,113,121,138,113,113,113,113,113,117,101,113,113,113,109,109,113,113,117,113,97,109,113,113,109,109,97,105,105,101,97,97,109,113,97,97,97,105,105,105,101,97,97,109,93,93,93,105,105,105,105,97,97,97
NO.8,57,57,66,76,28,28,28,85,113,113,57,85,113,113,85,76,85,113,113,104,113,113,113,113,113,113,113,113,104,104,113,113,113,113,113,113,113,113,104,104,113,113,113,113,113,113,113,113,104,104,85,85,113,113,104,113,104,113,113,104,66,66,85,94,113,94,85,94,113,113,66,66,57,57,57,76,85,85,85,113,66,66,66,57,57,57,76,85,85,85,66,66,66,57,57,57,57,76,85,85
NO.9,66,66,85,76,57,57,57,76,85,85,85,85,85,85,85,76,85,85,85,94,113,113,113,94,85,85,85,85,94,94,113,113,113,104,113,85,85,85,94,94,113,113,113,104,94,85,85,85,94,94,104,104,104,104,85,85,85,85,85,85,76,76,85,85,85,85,85,85,85,85,76,76,66,85,85,85,85,85,85,85,57,57,57,76,85,85,85,85,85,85,47,47,57,57,85,85,85,85,85,85
