name,start,end,data
NO.0,2018/1/1 01:00,2018/1/1 10:00,57,57,53,47,51,51,51,53,55,58,57,58,53,43,46,50,54,55,59,62,57,58,58,52,43,52,55,57,62,62,56,57,58,57,61,56,55,58,62,62,56,57,58,59,59,57,58,57,60,62,56,56,59,59,57,56,56,56,56,58,53,53,56,56,56,54,53,54,56,56,53,53,53,54,54,53,53,53,54,56,53,53,53,54,54,54,53,53,53,54,53,53,53,54,54,54,54,53,53,53
NO.1,2018/1/1 14:00,2018/1/1 16:00,36,36,35,33,34,34,34,35,35,36,35,35,34,33,34,34,35,35,37,38,35,35,35,34,33,35,35,36,38,38,36,35,35,35,36,35,38,37,38,38,36,35,35,36,36,36,35,35,37,38,36,36,36,36,35,36,35,34,34,36,32,32,34,35,36,34,33,34,34,34,32,32,32,34,34,33,33,33,34,34,32,32,33,34,34,34,33,33,33,34,33,33,33,34,34,34,34,33,33,33
NO.2,2018/1/1 18:00,2018/1/2 06:00,41,41,39,36,37,37,37,39,41,42,42,43,41,36,36,38,40,41,42,43,43,46,46,41,36,40,41,42,43,43,41,44,46,44,46,42,43,42,43,43,41,42,44,43,44,43,43,43,43,43,41,41,43,43,43,44,43,43,43,43,39,39,41,43,44,42,41,42,43,43,39,39,40,42,42,41,41,41,42,43,39,39,40,42,42,42,41,41,41,42,38,38,40,42,42,42,42,41,41,41
NO.3,2018/1/2 15:00,2018/1/2 17:00,35,35,38,39,36,36,36,38,41,40,39,42,44,42,40,38,39,41,40,40,47,49,49,43,42,40,41,40,40,40,44,47,49,42,40,40,39,39,40,40,44,46,44,39,39,39,40,39,39,40,39,40,39,39,38,38,39,37,37,38,34,34,37,38,38,37,37,37,37,37,34,34,36,39,39,38,37,37,37,37,35,35,37,39,39,39,38,37,37,37,36,36,37,39,39,39,39,37,37,37
NO.4,2018/1/2 19:00,2018/1/3 11:00,39,39,39,39,36,36,36,38,40,41,39,40,41,41,39,38,39,40,41,42,42,42,42,41,41,41,40,40,42,42,42,42,42,41,42,41,41,41,42,42,42,42,41,41,41,42,42,42,42,42,42,42,41,41,42,43,42,43,43,42,39,39,40,42,43,42,41,42,43,43,39,39,40,43,43,42,41,41,42,43,39,39,41,43,43,43,42,41,41,42,38,38,40,43,43,43,43,41,41,41
NO.5,2018/1/3 17:00,2018/1/4 16:00,56,56,56,53,51,51,51,51,52,54,57,58,58,55,54,52,52,52,55,57,60,61,61,58,56,55,52,54,57,57,60,61,61,60,61,57,55,55,57,57,60,60,60,59,60,58,59,56,56,57,58,58,59,59,60,60,55,56,56,56,56,56,57,59,60,57,55,55,56,56,56,56,56,59,57,55,55,55,55,56,55,55,56,57,56,56,55,55,55,55,55,55,56,57,56,56,56,55,55,55
NO.6,2018/1/4 22:00,2018/1/5 04:00,44,44,43,41,42,42,42,41,41,43,43,43,42,42,41,41,41,41,44,46,42,42,42,42,42,42,41,42,46,46,42,42,42,42,43,42,42,43,46,46,42,42,42,41,42,42,42,42,44,46,41,41,41,41,41,42,39,42,42,43,40,40,40,41,42,40,39,40,42,42,40,40,39,39,39,39,39,39,40,42,39,39,39,39,39,39,39,39,39,40,38,38,39,39,39,39,39,39,39,39
NO.7,2018/1/5 23:00,2018/1/6 10:00,33,33,34,33,29,29,29,33,37,37,34,35,36,37,34,33,34,37,37,37,38,38,38,37,37,37,37,36,37,37,38,38,38,37,38,37,36,37,37,37,38,38,38,37,38,37,38,37,36,37,36,37,37,37,37,38,36,36,36,36,32,32,35,37,38,36,36,36,36,36,32,32,31,38,36,36,36,36,36,36,29,29,29,33,36,36,36,36,36,36,27,27,27,30,36,36,36,36,36,36
NO.8,2018/1/6 21:00,2018/1/7 10:00,3,3,3,5,5,5,5,4,5,7,3,3,4,4,5,4,4,5,7,11,4,4,5,4,4,4,5,6,11,11,4,4,4,3,4,4,6,7,11,11,4,3,4,4,3,5,6,7,10,11,4,4,4,4,5,6,9,8,8,9,6,6,4,4,6,5,5,6,8,8,6,6,5,6,4,5,5,5,6,8,6,6,6,5,5,5,5,5,5,6,5,5,5,4,5,5,5,5,5,5
NO.9,2018/1/7 14:00,2018/1/7 22:00,22,22,22,17,17,17,17,22,26,30,23,25,27,24,17,20,23,26,30,33,29,29,29,28,27,26,26,28,33,33,30,29,29,28,27,27,28,29,33,33,30,30,29,29,29,30,30,30,32,33,28,29,29,29,32,33,29,30,30,31,26,26,27,30,33,31,31,30,30,30,26,26,26,30,29,30,31,31,30,30,24,24,26,29,29,29,30,31,31,30,23,23,26,28,29,29,29,30,31,31
NO.10,2018/1/8 00:00,2018/1/8 08:00,32,32,32,30,30,30,30,31,32,36,32,33,33,32,30,30,31,32,36,39,34,34,34,34,34,33,32,34,39,39,34,34,34,34,34,34,34,35,39,39,34,34,34,34,34,34,36,35,38,39,33,33,34,34,35,35,33,35,35,37,33,33,33,34,35,35,36,35,35,35,33,33,32,35,35,36,36,36,35,35,31,31,31,33,36,36,36,36,36,35,29,29,29,31,36,36,36,35,36,36
NO.11,2018/1/8 14:00,2018/1/9 13:00,4,4,4,5,4,4,4,4,5,5,5,6,6,6,5,4,4,5,5,7,8,8,8,7,6,5,5,6,7,7,8,8,8,7,6,6,7,6,7,7,8,8,7,8,8,8,7,7,7,7,7,7,8,8,10,11,7,9,9,7,5,5,6,8,11,8,6,7,9,9,5,5,6,7,7,6,6,6,7,9,5,5,6,7,7,7,6,6,6,7,5,5,6,7,7,7,7,6,6,6
NO.12,2018/1/9 15:00,2018/1/9 21:00,14,14,14,15,15,15,15,16,17,19,15,16,18,17,15,15,16,17,19,21,20,19,19,19,20,18,17,18,21,21,21,19,19,19,20,19,19,19,21,21,21,20,18,18,19,19,18,18,20,21,18,19,18,18,19,20,19,18,18,19,11,11,15,17,20,18,16,17,18,18,11,11,12,15,15,15,16,16,17,18,10,10,12,15,15,15,15,16,16,17,9,9,12,15,15,15,15,15,16,16
NO.13,2018/1/9 23:00,2018/1/10 05:00,9,9,9,9,9,9,9,9,11,12,9,10,10,10,9,9,10,11,12,14,11,12,12,12,12,11,11,11,14,14,11,11,12,11,12,10,11,11,14,14,11,11,11,11,10,10,11,10,12,14,9,10,11,11,10,10,7,10,10,11,10,10,9,10,10,8,8,8,10,10,10,10,9,10,10,8,8,8,8,10,8,8,9,10,10,10,8,8,8,8,7,7,8,10,10,10,10,8,8,8
NO.14,2018/1/10 18:00,2018/1/11 08:00,35,35,35,31,31,31,31,33,35,36,35,35,35,34,31,32,33,35,37,38,36,36,36,36,37,36,35,36,38,38,36,36,36,36,37,36,38,37,38,38,36,36,35,35,36,36,36,36,37,38,35,35,35,35,36,36,35,36,36,37,36,36,35,35,36,35,34,35,36,36,36,36,35,36,36,35,34,34,35,36,35,35,35,36,36,36,35,34,34,35,34,34,35,36,36,36,36,34,34,34
NO.15,2018/1/11 19:00,2018/1/12 02:00,34,34,35,35,33,33,33,34,35,36,34,35,36,37,36,34,34,35,36,38,37,37,37,37,37,36,35,35,38,38,37,37,37,37,38,36,36,36,38,38,37,37,36,36,37,36,36,36,37,38,36,36,36,36,37,37,35,36,36,36,35,35,36,36,37,35,35,35,36,36,35,35,35,36,36,35,35,35,35,36,34,34,35,36,36,36,35,35,35,35,34,34,35,36,36,36,36,35,35,35
NO.16,2018/1/12 04:00,2018/1/12 06:00,39,39,40,41,39,39,39,39,39,41,39,39,40,42,41,40,39,39,41,42,39,39,39,42,42,41,39,40,42,42,40,39,39,40,43,41,39,40,42,42,40,40,39,38,41,41,41,40,41,42,40,40,38,38,40,41,39,39,39,40,37,37,37,38,41,39,38,38,39,39,37,37,36,36,36,37,38,38,38,39,36,36,36,36,36,36,37,38,38,38,36,36,36,36,36,36,36,37,38,38
NO.17,2018/1/12 13:00,2018/1/12 15:00,19,19,22,22,18,18,18,17,18,19,19,19,22,26,24,20,17,18,19,21,20,19,19,23,26,21,18,18,21,21,21,20,19,21,20,19,18,18,21,21,21,20,19,20,20,19,19,18,20,21,21,21,20,20,20,20,21,18,18,18,19,19,19,20,20,20,19,18,18,18,19,19,20,22,22,20,19,19,18,18,20,20,20,22,22,22,20,19,19,18,21,21,20,22,22,22,22,20,19,19
NO.18,2018/1/12 19:00,2018/1/13 01:00,34,34,35,31,26,26,26,31,36,36,34,35,36,37,32,31,33,36,36,36,36,36,36,36,37,36,36,36,36,36,36,36,36,35,36,36,36,36,36,36,36,36,35,34,35,35,35,34,35,36,32,33,34,34,35,35,33,32,32,34,31,31,32,33,35,32,29,31,32,32,31,31,31,32,32,30,29,29,30,32,31,31,31,32,32,32,30,29,29,30,31,31,31,32,32,32,32,30,29,29
NO.19,2018/1/13 03:00,2018/1/13 06:00,33,33,34,33,28,28,28,30,33,35,34,35,36,37,34,31,31,33,35,36,36,37,37,37,37,35,33,34,36,36,35,36,37,36,38,34,33,33,36,36,35,36,35,33,34,31,31,30,33,36,35,35,33,33,30,29,26,27,27,31,23,23,29,29,29,26,24,25,27,27,23,23,24,27,27,25,24,24,25,27,23,23,25,27,27,27,25,24,24,25,24,24,25,27,27,27,27,25,24,24
NO.20,2018/1/13 08:00,2018/1/13 10:00,31,31,33,33,29,29,29,32,35,35,32,33,35,36,34,32,33,35,35,36,35,35,35,36,36,35,35,35,36,36,36,35,35,36,37,35,35,35,36,36,36,36,35,35,36,35,34,34,35,36,36,36,35,35,35,36,33,34,34,35,25,25,31,34,36,34,32,33,34,34,25,25,27,31,31,31,32,32,33,34,25,25,28,31,31,31,31,32,32,33,26,26,28,31,31,31,31,31,32,32
NO.21,2018/1/13 14:00,2018/1/13 17:00,35,35,36,36,33,33,33,35,37,39,35,35,37,38,36,35,35,37,39,41,36,36,36,38,38,38,37,38,41,41,36,36,36,37,40,38,37,38,41,41,36,36,36,37,38,37,37,36,39,41,36,36,37,37,37,37,36,35,35,37,34,34,35,37,37,36,36,35,35,35,34,34,36,38,38,37,36,36,35,35,36,36,37,38,38,38,37,36,36,35,38,38,38,38,38,38,38,36,36,36
NO.22,2018/1/13 19:00,2018/1/14 09:00,40,40,41,38,33,33,33,36,40,41,40,40,41,42,39,37,37,40,41,43,41,41,41,42,42,41,40,41,43,43,42,41,41,41,42,41,41,41,43,43,42,41,41,40,41,41,41,41,43,43,42,42,40,40,41,42,41,42,42,42,36,36,39,41,42,41,40,41,42,42,36,36,38,40,40,40,40,40,41,42,37,37,38,40,40,40,40,40,40,41,37,37,39,40,40,40,40,40,40,40
NO.23,2018/1/14 17:00,2018/1/15 10:00,35,35,36,35,32,32,32,34,38,39,35,36,37,39,36,35,35,37,39,39,37,38,38,38,39,38,38,39,39,39,38,37,38,37,38,38,40,39,39,39,38,38,37,36,37,38,38,38,38,39,38,38,36,36,38,40,36,37,37,38,32,32,35,37,40,37,35,36,37,37,32,32,33,35,35,35,35,35,35,37,32,32,33,35,35,35,35,35,35,35,32,32,33,35,35,35,35,34,35,35
NO.24,2018/1/15 20:00,2018/1/16 10:00,34,34,35,35,32,32,32,35,38,38,34,35,36,38,36,35,36,38,38,39,36,36,36,37,38,38,38,38,39,39,37,36,36,36,36,37,38,38,39,39,37,36,35,35,35,37,37,37,38,39,36,36,35,35,36,37,35,36,36,37,31,31,33,35,37,35,34,35,36,36,31,31,31,35,35,34,34,34,35,36,30,30,32,34,34,34,34,34,34,35,29,29,31,34,34,34,34,34,34,34
