name,cluster,LevelNum
NO.0,0,-17.0,17.0,-31.0,31.0,1.0,-1.0
NO.1,3,-44.0,44.0,-10.0,10.0,0.0,0.0
NO.2,0,41.0,-41.0,-27.0,27.0,1.0,-1.0
NO.3,3,-58.0,58.0,-6.0,6.0,-2.0,2.0
NO.4,3,-71.0,71.0,-13.0,13.0,1.0,-1.0
NO.5,0,43.0,-43.0,-21.0,21.0,1.0,-1.0
NO.6,0,45.0,-45.0,-21.0,21.0,1.0,-1.0
NO.7,0,59.0,-59.0,-27.0,27.0,1.0,-1.0
NO.8,3,-78.0,78.0,4.0,-4.0,-8.0,8.0
NO.9,0,2.0,-2.0,-18.0,18.0,-6.0,6.0
NO.10,0,-18.0,18.0,-14.0,14.0,0.0,0.0
NO.11,3,-150.0,150.0,-2.0,2.0,2.0,-2.0
NO.12,3,-121.0,121.0,-21.0,21.0,5.0,-5.0
NO.13,3,-108.0,108.0,-22.0,22.0,0.0,0.0
NO.14,0,-11.0,11.0,-23.0,23.0,1.0,-1.0
NO.15,3,-34.0,34.0,-4.0,4.0,-2.0,2.0
NO.16,0,25.0,-25.0,-23.0,23.0,-1.0,1.0
NO.17,0,10.0,-10.0,-18.0,18.0,0.0,0.0
NO.18,3,-145.0,145.0,3.0,-3.0,-3.0,3.0
NO.19,3,-37.0,37.0,-11.0,11.0,-1.0,1.0
NO.20,3,-21.0,21.0,-7.0,7.0,1.0,-1.0
NO.21,0,75.0,-75.0,-25.0,25.0,1.0,-1.0
NO.22,3,-25.0,25.0,-3.0,3.0,3.0,-3.0
NO.23,3,-27.0,27.0,-9.0,9.0,-3.0,3.0
NO.24,0,85.0,-85.0,-35.0,35.0,-1.0,1.0
NO.25,3,-33.0,33.0,-15.0,15.0,7.0,-7.0
NO.26,3,-57.0,57.0,-11.0,11.0,1.0,-1.0
NO.27,0,-8.0,8.0,-6.0,6.0,4.0,-4.0
NO.28,0,15.0,-15.0,1.0,-1.0,-3.0,3.0
NO.29,0,26.0,-26.0,-28.0,28.0,0.0,0.0
NO.30,0,19.0,-19.0,-7.0,7.0,1.0,-1.0
NO.31,0,29.0,-29.0,-25.0,25.0,-1.0,1.0
NO.32,0,6.0,-6.0,-8.0,8.0,0.0,0.0
NO.33,0,82.0,-82.0,-20.0,20.0,2.0,-2.0
NO.34,3,-54.0,54.0,4.0,-4.0,-4.0,4.0
NO.35,3,-23.0,23.0,-9.0,9.0,-3.0,3.0
NO.36,0,92.0,-92.0,-30.0,30.0,2.0,-2.0
NO.37,3,-43.0,43.0,-5.0,5.0,-1.0,1.0
NO.38,0,-17.0,17.0,-1.0,1.0,-1.0,1.0
NO.39,3,-109.0,109.0,7.0,-7.0,1.0,-1.0
NO.40,0,-16.0,16.0,-14.0,14.0,0.0,0.0
NO.41,0,28.0,-28.0,-16.0,16.0,-6.0,6.0
NO.42,0,30.0,-30.0,-18.0,18.0,2.0,-2.0
NO.43,0,-13.0,13.0,3.0,-3.0,-1.0,1.0
NO.44,3,-37.0,37.0,-3.0,3.0,-1.0,1.0
NO.45,0,36.0,-36.0,-20.0,20.0,0.0,0.0
NO.46,0,47.0,-47.0,-15.0,15.0,-1.0,1.0
NO.47,0,13.0,-13.0,-21.0,21.0,-1.0,1.0
NO.48,3,-34.0,34.0,0.0,0.0,2.0,-2.0
NO.49,0,-9.0,9.0,-3.0,3.0,3.0,-3.0
NO.50,0,-8.0,8.0,-16.0,16.0,2.0,-2.0
NO.51,3,-21.0,21.0,-25.0,25.0,3.0,-3.0
NO.52,0,13.0,-13.0,-15.0,15.0,-3.0,3.0
NO.53,0,100.0,-100.0,-24.0,24.0,0.0,0.0
NO.54,3,-26.0,26.0,4.0,-4.0,-2.0,2.0
NO.55,3,-43.0,43.0,3.0,-3.0,-5.0,5.0
NO.56,0,32.0,-32.0,-22.0,22.0,0.0,0.0
NO.57,3,-49.0,49.0,7.0,-7.0,1.0,-1.0
NO.58,3,-86.0,86.0,2.0,-2.0,0.0,0.0
NO.59,3,-21.0,21.0,-7.0,7.0,-1.0,1.0
NO.60,0,-5.0,5.0,9.0,-9.0,1.0,-1.0
NO.61,3,-37.0,37.0,9.0,-9.0,-1.0,1.0
NO.62,0,37.0,-37.0,17.0,-17.0,-3.0,3.0
NO.63,0,90.0,-90.0,-4.0,4.0,0.0,0.0
NO.64,3,-28.0,28.0,4.0,-4.0,-4.0,4.0
NO.65,3,-103.0,103.0,7.0,-7.0,-3.0,3.0
NO.66,3,-75.0,75.0,-7.0,7.0,-3.0,3.0
NO.67,3,-63.0,63.0,-9.0,9.0,-1.0,1.0
NO.68,0,-10.0,10.0,0.0,0.0,0.0,0.0
NO.69,3,-24.0,24.0,6.0,-6.0,0.0,0.0
NO.70,0,-4.0,4.0,-4.0,4.0,0.0,0.0
NO.71,0,27.0,-27.0,-3.0,3.0,1.0,-1.0
NO.72,0,69.0,-69.0,7.0,-7.0,1.0,-1.0
NO.73,3,-31.0,31.0,-1.0,1.0,1.0,-1.0
NO.74,0,-5.0,5.0,3.0,-3.0,-1.0,1.0
NO.75,0,49.0,-49.0,1.0,-1.0,1.0,-1.0
NO.76,3,-28.0,28.0,10.0,-10.0,-2.0,2.0
NO.77,0,49.0,-49.0,-19.0,19.0,-1.0,1.0
NO.78,0,17.0,-17.0,-3.0,3.0,-1.0,1.0
NO.79,3,-27.0,27.0,-1.0,1.0,-1.0,1.0
NO.80,0,26.0,-26.0,-10.0,10.0,-2.0,2.0
NO.81,3,-43.0,43.0,3.0,-3.0,-1.0,1.0
NO.82,0,-3.0,3.0,-21.0,21.0,-1.0,1.0
NO.83,0,2.0,-2.0,-2.0,2.0,-4.0,4.0
NO.84,3,-27.0,27.0,-5.0,5.0,1.0,-1.0
NO.85,0,-4.0,4.0,-8.0,8.0,-2.0,2.0
NO.86,0,-11.0,11.0,-5.0,5.0,-1.0,1.0
NO.87,0,-15.0,15.0,-3.0,3.0,-1.0,1.0
NO.88,0,-5.0,5.0,-3.0,3.0,-1.0,1.0
NO.89,0,4.0,-4.0,-4.0,4.0,0.0,0.0
NO.90,0,16.0,-16.0,-10.0,10.0,0.0,0.0
NO.91,3,-47.0,47.0,-23.0,23.0,-5.0,5.0
NO.92,3,-97.0,97.0,-13.0,13.0,-1.0,1.0
NO.93,3,-86.0,86.0,2.0,-2.0,0.0,0.0
NO.94,0,-6.0,6.0,-4.0,4.0,-2.0,2.0
NO.95,0,-12.0,12.0,-16.0,16.0,0.0,0.0
NO.96,3,-119.0,119.0,-9.0,9.0,-7.0,7.0
NO.97,0,-4.0,4.0,4.0,-4.0,2.0,-2.0
NO.98,3,-64.0,64.0,-4.0,4.0,0.0,0.0
NO.99,0,18.0,-18.0,-14.0,14.0,-2.0,2.0
NO.100,0,2.0,-2.0,-6.0,6.0,0.0,0.0
NO.101,3,-99.0,99.0,15.0,-15.0,5.0,-5.0
NO.102,0,-13.0,13.0,-15.0,15.0,-9.0,9.0
NO.103,0,44.0,-44.0,-18.0,18.0,0.0,0.0
NO.104,0,60.0,-60.0,-18.0,18.0,0.0,0.0
NO.105,0,23.0,-23.0,-1.0,1.0,-1.0,1.0
NO.106,3,-41.0,41.0,-11.0,11.0,-1.0,1.0
NO.107,3,-189.0,189.0,7.0,-7.0,-5.0,5.0
NO.108,3,-134.0,134.0,-6.0,6.0,-2.0,2.0
NO.109,3,-22.0,22.0,-16.0,16.0,-4.0,4.0
NO.110,3,-26.0,26.0,-14.0,14.0,0.0,0.0
