number,data
NO.1,170,170,170,144,156,156,156,170,170,170,170,170,170,125,142,164,170,170,170,170,170,170,170,170,125,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,167,167,170,170,170,170,170,170,170,170,167,167,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
NO.2,92,92,92,85,85,85,85,85,99,99,92,99,99,78,85,85,85,99,99,99,99,106,106,92,78,92,99,99,99,99,85,99,106,99,99,92,106,99,99,99,85,92,99,99,99,92,92,92,99,99,85,85,99,99,92,92,92,85,85,99,71,71,92,92,92,92,85,85,85,85,71,71,78,85,85,85,85,85,85,85,71,71,85,85,85,85,85,85,85,85,78,78,85,85,85,85,85,85,85,85
NO.3,113,113,102,90,92,92,92,102,111,113,113,113,109,90,90,92,106,111,113,123,113,113,113,99,90,109,111,116,123,123,113,113,113,118,120,120,118,116,123,123,113,113,116,113,118,120,116,116,113,123,113,113,113,113,116,120,123,118,118,113,106,106,109,113,120,118,111,116,118,118,106,106,106,116,116,111,111,111,113,118,104,104,104,116,116,116,111,111,111,113,99,99,104,116,116,116,116,111,111,111
NO.4,71,71,71,67,71,71,71,71,78,78,78,85,85,78,71,71,71,78,78,74,92,96,96,74,78,78,78,81,74,74,85,92,96,81,78,85,89,81,74,74,85,85,89,78,74,74,74,74,71,74,78,78,78,78,74,78,85,67,67,71,60,60,71,71,78,71,64,71,67,67,60,60,60,67,67,67,64,64,64,67,60,60,67,67,67,67,67,64,64,64,67,67,67,67,67,67,67,64,64,64
NO.5,103,103,105,97,92,92,92,93,110,113,107,110,113,115,105,95,102,110,113,113,117,115,115,113,115,113,110,113,113,113,118,117,115,113,113,112,112,113,113,113,118,118,113,113,113,112,113,113,113,113,118,118,113,113,115,115,113,118,118,113,98,98,108,112,115,112,112,112,118,118,98,98,108,113,113,112,112,112,112,118,102,102,112,113,113,113,112,112,112,112,102,102,108,113,113,113,113,112,112,112
NO.6,113,113,106,106,106,106,106,106,106,113,113,113,106,106,106,106,106,106,113,120,113,113,113,113,106,106,106,106,120,120,113,113,113,113,113,106,92,106,120,120,113,113,113,113,113,106,106,99,113,120,113,113,113,113,106,106,99,99,99,99,99,99,106,106,106,99,99,92,99,99,99,99,106,106,106,106,99,99,99,99,106,106,106,106,106,106,106,99,99,99,106,106,106,106,106,106,106,99,99,99
NO.7,168,168,168,164,153,153,153,153,153,157,168,170,168,165,165,156,154,153,159,164,170,170,170,168,165,165,153,157,164,164,170,170,170,170,170,168,159,164,164,164,170,170,170,170,170,170,170,168,164,164,170,170,170,170,170,170,172,168,168,164,165,165,170,170,170,170,167,168,168,168,165,165,168,170,170,170,167,167,168,168,168,168,170,170,170,170,170,167,167,168,168,168,170,170,170,170,170,170,167,167
NO.8,170,170,170,156,156,156,156,156,156,156,170,170,170,156,156,156,156,156,156,149,170,170,170,170,156,156,156,156,149,149,170,170,170,170,170,163,156,156,149,149,170,170,170,170,170,163,156,156,149,149,163,170,170,170,163,163,156,156,156,149,156,156,163,170,163,163,156,156,156,156,156,156,163,163,163,163,156,156,156,156,156,156,163,163,163,163,163,156,156,156,163,163,163,163,163,163,163,156,156,156
NO.9,135,135,128,113,113,113,113,113,128,142,128,128,128,128,113,113,120,128,142,142,128,128,128,128,128,128,128,135,142,142,128,128,128,128,128,128,128,135,142,142,128,128,128,128,128,135,135,128,142,142,113,120,128,128,135,149,120,113,113,135,113,113,113,113,149,120,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
NO.10,113,113,113,113,108,108,108,113,113,113,113,113,113,113,113,113,113,113,113,136,113,113,113,113,113,113,113,113,136,136,113,113,113,113,113,113,113,113,136,136,113,113,113,113,113,113,113,113,119,136,113,113,113,113,113,113,96,113,113,113,108,108,113,113,113,113,91,108,113,113,108,108,91,102,102,96,91,91,108,113,91,91,91,102,102,102,96,91,91,108,85,85,85,102,102,102,102,91,91,91
