number,data
NO.1,97,97,97,82,89,89,89,97,97,97,97,97,97,71,81,94,97,97,97,97,97,97,97,97,71,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,95,95,97,97,97,97,97,97,97,97,95,95,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
NO.2,21,21,21,19,19,19,19,19,23,23,21,23,23,18,19,19,19,23,23,23,23,24,24,21,18,21,23,23,23,23,19,23,24,23,23,21,24,23,23,23,19,21,23,23,23,21,21,21,23,23,19,19,23,23,21,21,21,19,19,23,16,16,21,21,21,21,19,19,19,19,16,16,18,19,19,19,19,19,19,19,16,16,19,19,19,19,19,19,19,19,18,18,19,19,19,19,19,19,19,19
NO.3,77,77,69,61,63,63,63,69,76,77,77,77,74,61,61,63,73,76,77,84,77,77,77,68,61,74,76,79,84,84,77,77,77,81,82,82,81,79,84,84,77,77,79,77,81,82,79,79,77,84,77,77,77,77,79,82,84,81,81,77,73,73,74,77,82,81,76,79,81,81,73,73,73,79,79,76,76,76,77,81,71,71,71,79,79,79,76,76,76,77,68,68,71,79,79,79,79,76,76,76
NO.4,32,32,32,31,32,32,32,32,36,36,36,39,39,36,32,32,32,36,36,34,42,44,44,34,36,36,36,37,34,34,39,42,44,37,36,39,40,37,34,34,39,39,40,36,34,34,34,34,32,34,36,36,36,36,34,36,39,31,31,32,27,27,32,32,36,32,29,32,31,31,27,27,27,31,31,31,29,29,29,31,27,27,31,31,31,31,31,29,29,29,31,31,31,31,31,31,31,29,29,29
NO.5,100,100,102,94,89,89,89,90,107,110,103,107,110,111,102,92,98,107,110,110,113,111,111,110,111,110,107,110,110,110,115,113,111,110,110,108,108,110,110,110,115,115,110,110,110,108,110,110,110,110,115,115,110,110,111,111,110,115,115,110,95,95,105,108,111,108,108,108,115,115,95,95,105,110,110,108,108,108,108,115,98,98,108,110,110,110,108,108,108,108,98,98,105,110,110,110,110,108,108,108
NO.6,26,26,24,24,24,24,24,24,24,26,26,26,24,24,24,24,24,24,26,27,26,26,26,26,24,24,24,24,27,27,26,26,26,26,26,24,21,24,27,27,26,26,26,26,26,24,24,23,26,27,26,26,26,26,24,24,23,23,23,23,23,23,24,24,24,23,23,21,23,23,23,23,24,24,24,24,23,23,23,23,24,24,24,24,24,24,24,23,23,23,24,24,24,24,24,24,24,23,23,23
NO.7,173,173,173,168,157,157,157,157,157,161,173,174,173,169,169,160,158,157,163,168,174,174,174,173,169,169,157,161,168,168,174,174,174,174,174,173,163,168,168,168,174,174,174,174,174,174,174,173,168,168,174,174,174,174,174,174,176,173,173,168,169,169,174,174,174,174,171,173,173,173,169,169,173,174,174,174,171,171,173,173,173,173,174,174,174,174,174,171,171,173,173,173,174,174,174,174,174,174,171,171
NO.8,39,39,39,36,36,36,36,36,36,36,39,39,39,36,36,36,36,36,36,34,39,39,39,39,36,36,36,36,34,34,39,39,39,39,39,37,36,36,34,34,39,39,39,39,39,37,36,36,34,34,37,39,39,39,37,37,36,36,36,34,36,36,37,39,37,37,36,36,36,36,36,36,37,37,37,37,36,36,36,36,36,36,37,37,37,37,37,36,36,36,37,37,37,37,37,37,37,36,36,36
NO.9,31,31,29,26,26,26,26,26,29,32,29,29,29,29,26,26,27,29,32,32,29,29,29,29,29,29,29,31,32,32,29,29,29,29,29,29,29,31,32,32,29,29,29,29,29,31,31,29,32,32,26,27,29,29,31,34,27,26,26,31,26,26,26,26,34,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
NO.10,32,32,32,32,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,39,32,32,32,32,32,32,32,32,39,39,32,32,32,32,32,32,32,32,39,39,32,32,32,32,32,32,32,32,34,39,32,32,32,32,32,32,27,32,32,32,31,31,32,32,32,32,26,31,32,32,31,31,26,29,29,27,26,26,31,32,26,26,26,29,29,29,27,26,26,31,24,24,24,29,29,29,29,26,26,26
