number,data
NO.1,58,58,53,47,51,51,51,54,57,60,58,58,54,44,47,51,55,57,60,63,58,59,59,53,44,54,57,58,63,63,57,59,59,58,62,57,56,59,63,63,57,58,60,60,60,58,60,59,61,63,57,57,60,60,57,56,56,58,58,60,54,54,57,57,56,55,54,56,58,58,54,54,54,55,55,54,54,54,56,58,54,54,54,55,55,55,54,54,54,56,54,54,54,55,55,55,55,54,54,54
NO.2,37,37,36,34,35,35,35,35,36,37,38,38,37,34,34,35,36,36,38,39,38,40,40,36,34,36,36,37,39,39,36,38,40,38,38,37,38,38,39,39,36,37,39,38,38,37,36,37,38,39,36,36,38,38,37,37,36,36,36,37,33,33,35,37,37,36,35,36,36,36,33,33,34,36,36,36,35,35,36,36,33,33,34,36,36,36,36,35,35,36,33,33,34,36,36,36,36,36,35,35
NO.3,41,41,39,36,37,37,37,39,41,42,41,42,40,35,36,38,40,41,42,43,42,42,42,39,35,40,41,42,43,43,41,42,42,42,45,42,43,42,43,43,41,41,42,42,43,43,43,42,43,43,41,41,42,42,43,44,43,43,43,43,40,40,41,42,44,42,41,42,43,43,40,40,40,42,42,41,41,41,42,43,39,39,40,42,42,42,41,41,41,42,39,39,40,42,42,42,42,41,41,41
NO.4,32,32,32,32,32,32,32,33,34,33,33,35,35,32,32,32,33,34,33,33,37,38,38,34,32,34,34,34,33,33,36,37,38,35,34,34,38,34,33,33,36,36,36,34,33,34,33,33,32,33,33,34,34,34,33,33,35,30,30,31,28,28,31,33,33,32,30,31,30,30,28,28,30,32,32,31,30,30,30,30,29,29,30,32,32,32,31,30,30,30,31,31,31,32,32,32,32,30,30,30
NO.5,39,39,39,39,36,36,36,38,40,41,39,40,41,41,39,38,39,40,41,42,42,42,42,41,41,41,40,40,42,42,42,42,42,41,42,41,41,41,42,42,42,42,41,41,41,42,42,42,42,42,42,42,41,41,42,43,42,43,43,42,39,39,40,42,43,42,41,42,43,43,39,39,40,43,43,42,41,41,42,43,39,39,41,43,43,43,42,41,41,42,38,38,40,43,43,43,43,41,41,41
NO.6,41,41,40,39,39,39,39,39,40,41,41,41,40,40,39,39,39,40,41,43,41,40,40,40,40,39,40,40,43,43,43,41,40,41,42,39,37,40,43,43,43,42,41,41,41,39,39,38,41,43,43,43,41,41,40,40,38,37,37,39,38,38,39,40,40,38,37,37,37,37,38,38,38,40,40,38,37,37,37,37,38,38,39,40,40,40,38,37,37,37,40,40,39,40,40,40,40,38,37,37
NO.7,56,56,55,52,50,50,50,50,51,54,57,58,58,55,53,51,51,51,54,57,60,61,61,58,55,54,51,53,57,57,60,60,61,59,61,56,54,55,57,57,60,60,60,59,60,59,60,57,57,57,58,59,59,59,60,61,57,57,57,57,57,57,58,59,61,58,55,56,57,57,57,57,57,60,58,56,55,55,56,57,56,56,57,58,57,57,56,55,55,56,56,56,57,58,57,57,57,56,55,55
NO.8,61,61,59,54,52,52,52,53,55,55,61,63,61,57,55,54,54,55,55,55,65,65,65,61,59,57,55,55,55,55,65,65,65,62,64,58,55,55,55,55,65,65,63,61,61,55,54,53,53,55,55,59,61,61,56,54,50,51,51,52,52,52,56,57,54,52,51,50,51,51,52,52,53,55,55,53,51,51,51,51,53,53,54,55,55,55,53,51,51,51,53,53,54,55,55,55,55,53,51,51
NO.9,46,46,45,44,44,44,44,44,44,46,45,45,44,44,44,44,44,44,46,48,45,45,45,44,44,44,44,45,48,48,45,45,45,44,45,44,44,45,48,48,45,45,44,44,45,45,45,44,46,48,43,43,44,44,45,46,43,43,43,45,42,42,43,44,46,44,41,42,43,43,42,42,42,42,42,41,41,41,42,43,42,42,42,42,42,42,41,41,41,42,42,42,42,42,42,42,42,41,41,41
NO.10,44,44,43,41,41,41,41,40,41,43,43,43,42,41,41,40,40,41,43,46,42,42,42,42,41,41,41,42,46,46,42,42,42,42,43,42,43,43,46,46,42,42,41,41,41,41,42,42,44,46,40,41,41,41,41,41,38,41,41,43,39,39,40,40,41,39,38,39,41,41,39,39,38,39,39,38,38,38,39,41,38,38,38,39,39,39,38,38,38,39,37,37,38,39,39,39,39,38,38,38
NO.11,31,31,33,33,27,27,27,33,38,37,33,35,37,38,34,32,34,38,37,37,38,39,39,38,38,38,38,37,37,37,38,39,39,38,40,38,37,37,37,37,38,38,38,38,38,38,39,37,37,37,35,36,38,38,38,38,37,37,37,37,32,32,35,37,38,37,35,36,37,37,32,32,31,35,34,35,35,35,36,37,30,30,29,32,34,34,35,35,35,36,28,28,28,30,34,34,34,35,35,35
NO.12,13,13,15,19,20,20,20,19,20,21,15,16,18,19,19,19,20,20,21,23,18,19,19,19,19,19,20,20,23,23,18,18,19,19,20,19,18,19,23,23,18,18,19,18,19,19,17,18,21,23,18,18,18,18,19,19,22,17,17,20,15,15,16,18,19,19,20,19,17,17,15,15,15,19,19,20,20,20,18,17,15,15,15,17,20,20,20,20,20,18,16,16,15,16,20,20,20,20,20,20
