name,cut_shot
2018年1月1日 00時00分,0
2018年1月1日 01時00分,0
2018年1月1日 02時00分,0
2018年1月1日 03時00分,0
2018年1月1日 04時00分,0
2018年1月1日 05時00分,0
2018年1月1日 06時00分,0
2018年1月1日 07時00分,0
2018年1月1日 08時00分,0
2018年1月1日 09時00分,0
2018年1月1日 10時00分,1
2018年1月1日 11時00分,0
2018年1月1日 12時00分,0
2018年1月1日 13時00分,0
2018年1月1日 14時00分,1
2018年1月1日 15時00分,0
2018年1月1日 16時00分,0
2018年1月1日 17時00分,1
2018年1月1日 18時00分,0
2018年1月1日 19時00分,0
2018年1月1日 20時00分,0
2018年1月1日 21時00分,0
2018年1月1日 22時00分,0
2018年1月1日 23時00分,0
2018年1月2日 00時00分,0
2018年1月2日 01時00分,0
2018年1月2日 02時00分,0
2018年1月2日 03時00分,0
2018年1月2日 04時00分,0
2018年1月2日 05時00分,0
2018年1月2日 06時00分,0
2018年1月2日 07時00分,0
2018年1月2日 08時00分,0
2018年1月2日 09時00分,1
2018年1月2日 10時00分,0
2018年1月2日 11時00分,0
2018年1月2日 12時00分,1
2018年1月2日 13時00分,0
2018年1月2日 14時00分,1
2018年1月2日 15時00分,0
2018年1月2日 16時00分,1
2018年1月2日 17時00分,0
2018年1月2日 18時00分,1
2018年1月2日 19時00分,0
2018年1月2日 20時00分,0
2018年1月2日 21時00分,0
2018年1月2日 22時00分,0
2018年1月2日 23時00分,0
2018年1月3日 00時00分,0
2018年1月3日 01時00分,0
2018年1月3日 02時00分,0
2018年1月3日 03時00分,0
2018年1月3日 04時00分,0
2018年1月3日 05時00分,0
2018年1月3日 06時00分,0
2018年1月3日 07時00分,0
2018年1月3日 08時00分,0
2018年1月3日 09時00分,0
2018年1月3日 10時00分,0
2018年1月3日 11時00分,0
2018年1月3日 12時00分,0
2018年1月3日 13時00分,0
2018年1月3日 14時00分,0
2018年1月3日 15時00分,1
2018年1月3日 16時00分,1
2018年1月3日 17時00分,1
2018年1月3日 18時00分,0
2018年1月3日 19時00分,0
2018年1月3日 20時00分,0
2018年1月3日 21時00分,0
2018年1月3日 22時00分,0
2018年1月3日 23時00分,0
2018年1月4日 00時00分,0
2018年1月4日 01時00分,0
2018年1月4日 02時00分,0
2018年1月4日 03時00分,0
2018年1月4日 04時00分,0
2018年1月4日 05時00分,0
2018年1月4日 06時00分,0
2018年1月4日 07時00分,0
2018年1月4日 08時00分,0
2018年1月4日 09時00分,0
2018年1月4日 10時00分,0
2018年1月4日 11時00分,0
2018年1月4日 12時00分,1
2018年1月4日 13時00分,1
2018年1月4日 14時00分,0
2018年1月4日 15時00分,0
2018年1月4日 16時00分,0
2018年1月4日 17時00分,1
2018年1月4日 18時00分,1
2018年1月4日 19時00分,0
2018年1月4日 20時00分,0
2018年1月4日 21時00分,0
2018年1月4日 22時00分,0
2018年1月4日 23時00分,0
2018年1月5日 00時00分,0
2018年1月5日 01時00分,0
2018年1月5日 02時00分,0
2018年1月5日 03時00分,0
2018年1月5日 04時00分,0
2018年1月5日 15時00分,0
2018年1月5日 16時00分,0
2018年1月5日 17時00分,0
2018年1月5日 18時00分,0
2018年1月5日 19時00分,0
2018年1月5日 20時00分,0
2018年1月5日 21時00分,0
2018年1月5日 22時00分,0
2018年1月5日 23時00分,0
2018年1月6日 00時00分,0
2018年1月6日 01時00分,0
2018年1月6日 02時00分,1
2018年1月6日 03時00分,1
2018年1月6日 04時00分,1
2018年1月6日 05時00分,0
