number,data
NO.0,71.0,71.0,62.0,50.4,57.7,57.7,57.7,63.0,68.7,75.9,71.5,72.7,63.5,45.2,49.1,57.0,64.8,68.7,76.5,83.8,72.3,74.9,74.9,61.6,45.2,62.6,68.7,72.0,83.8,83.8,70.2,73.0,74.9,72.7,81.9,69.7,68.3,74.4,83.8,83.8,70.2,71.4,75.2,75.9,76.2,72.1,76.0,73.4,79.5,83.8,70.2,70.2,75.9,75.9,70.5,68.3,68.1,71.8,71.8,76.7,62.9,62.9,68.7,69.8,68.3,65.1,62.3,66.9,71.8,71.8,62.9,62.9,63.5,65.7,65.7,63.7,62.3,62.3,66.7,71.8,62.4,62.4,64.0,65.7,65.7,65.7,63.7,62.3,62.3,66.7,62.6,62.6,63.6,65.7,65.7,65.7,65.7,63.3,62.3,62.3
NO.1,59.0,59.0,50.0,40.0,48.0,48.0,48.0,47.0,47.0,46.0,57.0,55.0,46.0,33.0,38.0,44.0,47.0,47.0,46.0,47.0,50.0,52.0,52.0,42.0,33.0,42.0,47.0,46.0,47.0,47.0,49.0,51.0,52.0,48.0,50.0,45.0,44.0,46.0,47.0,47.0,49.0,50.0,52.0,52.0,53.0,53.0,50.0,49.0,47.0,47.0,49.0,49.0,52.0,52.0,58.0,61.0,56.0,48.0,48.0,47.0,44.0,44.0,48.0,53.0,61.0,54.0,47.0,49.0,48.0,48.0,44.0,44.0,46.0,48.0,48.0,47.0,47.0,47.0,47.0,48.0,46.0,46.0,47.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0,47.0
NO.2,37.0,37.0,32.0,28.0,34.0,34.0,34.0,32.0,32.0,29.0,35.0,34.0,29.0,24.0,27.0,31.0,32.0,32.0,29.0,27.0,31.0,32.0,32.0,28.0,24.0,29.0,32.0,29.0,27.0,27.0,30.0,31.0,32.0,31.0,34.0,30.0,28.0,28.0,27.0,27.0,30.0,30.0,31.0,31.0,33.0,34.0,31.0,31.0,29.0,27.0,30.0,30.0,31.0,31.0,35.0,38.0,38.0,34.0,34.0,30.0,24.0,24.0,28.0,32.0,38.0,35.0,31.0,33.0,34.0,34.0,24.0,24.0,26.0,30.0,30.0,30.0,31.0,31.0,32.0,34.0,26.0,26.0,28.0,30.0,30.0,30.0,30.0,31.0,31.0,32.0,28.0,28.0,28.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0
NO.3,23.0,23.0,23.0,24.0,27.0,27.0,27.0,27.0,28.0,28.0,23.0,24.0,24.0,23.0,24.0,26.0,27.0,28.0,28.0,29.0,25.0,25.0,25.0,24.0,23.0,25.0,28.0,27.0,29.0,29.0,27.0,25.0,25.0,25.0,27.0,25.0,25.0,26.0,29.0,29.0,27.0,26.0,25.0,26.0,27.0,26.0,25.0,25.0,27.0,29.0,27.0,27.0,26.0,26.0,28.0,29.0,25.0,23.0,23.0,25.0,18.0,18.0,22.0,24.0,29.0,24.0,20.0,22.0,23.0,23.0,18.0,18.0,18.0,19.0,19.0,19.0,20.0,20.0,21.0,23.0,16.0,16.0,17.0,19.0,19.0,19.0,19.0,20.0,20.0,21.0,14.0,14.0,16.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0
NO.4,31.5,31.5,30.5,28.5,29.0,29.0,29.0,29.75,31.25,32.0,31.0,31.25,30.5,29.25,29.0,29.25,30.25,31.25,32.25,33.75,32.0,31.75,31.75,30.75,29.25,30.5,31.25,31.75,33.75,33.75,33.5,32.0,31.75,31.75,33.75,31.25,32.25,31.75,33.75,33.75,33.5,32.5,32.25,33.25,33.0,31.25,30.25,30.0,31.75,33.75,33.5,33.5,33.25,33.25,31.75,32.0,29.25,28.5,28.5,30.5,26.75,26.75,29.75,30.5,32.0,29.25,28.0,28.25,28.5,28.5,26.75,26.75,26.75,28.0,28.0,27.75,28.0,28.0,28.0,28.5,26.75,26.75,27.0,28.0,28.0,28.0,27.75,28.0,28.0,28.0,27.25,27.25,27.0,28.0,28.0,28.0,28.0,27.75,28.0,28.0
NO.5,40.0,40.0,37.0,32.0,31.0,31.0,31.0,34.0,38.0,38.0,45.0,50.0,46.0,33.0,32.0,33.0,35.0,38.0,38.0,39.0,48.0,60.0,60.0,42.0,33.0,37.0,38.0,38.0,39.0,39.0,35.0,51.0,60.0,46.0,43.0,39.0,39.0,38.0,39.0,39.0,35.0,43.0,51.0,43.0,42.0,39.0,38.0,39.0,39.0,39.0,35.0,35.0,43.0,43.0,40.0,39.0,39.0,41.0,41.0,40.0,31.0,31.0,37.0,42.0,39.0,39.0,40.0,40.0,41.0,41.0,31.0,31.0,36.0,44.0,44.0,42.0,40.0,40.0,40.0,41.0,31.0,31.0,37.0,44.0,44.0,44.0,42.0,40.0,40.0,40.0,32.0,32.0,37.0,44.0,44.0,44.0,44.0,41.0,40.0,40.0
NO.6,36.0,36.0,38.0,36.0,30.0,30.0,30.0,34.0,39.0,38.0,55.0,75.0,75.0,43.0,38.0,35.0,36.0,39.0,38.0,38.0,76.0,114.0,114.0,67.0,43.0,46.0,39.0,39.0,38.0,38.0,33.0,87.0,114.0,77.0,70.0,50.0,43.0,41.0,38.0,38.0,33.0,60.0,89.0,65.0,64.0,51.0,45.0,45.0,41.0,38.0,33.0,33.0,65.0,65.0,56.0,52.0,50.0,48.0,48.0,43.0,32.0,32.0,45.0,51.0,52.0,48.0,43.0,46.0,48.0,48.0,32.0,32.0,34.0,37.0,37.0,40.0,43.0,43.0,45.0,48.0,32.0,32.0,34.0,37.0,37.0,37.0,40.0,43.0,43.0,45.0,33.0,33.0,34.0,37.0,37.0,37.0,37.0,40.0,43.0,43.0
NO.7,40.2,40.2,36.9,32.1,34.0,34.0,34.0,37.5,41.3,42.1,40.3,40.8,37.9,31.5,32.1,34.7,38.6,41.3,42.1,43.3,40.8,42.1,42.1,38.0,31.5,39.0,41.3,41.8,43.3,43.3,40.3,41.1,42.1,41.9,48.1,42.2,43.1,42.2,43.3,43.3,40.3,40.6,41.8,42.1,44.7,43.9,43.1,42.9,43.1,43.3,40.3,40.3,42.1,42.1,43.6,44.9,43.7,43.3,43.3,42.8,38.9,38.9,40.3,42.5,44.9,42.6,41.1,42.1,43.3,43.3,38.9,38.9,39.7,41.9,41.9,41.2,41.1,41.1,41.8,43.3,37.7,37.7,39.5,41.9,41.9,41.9,41.2,41.1,41.1,41.7,37.0,37.0,39.1,41.9,41.9,41.9,41.9,41.0,41.1,41.1
NO.8,38.4,38.4,34.0,29.6,34.0,34.0,34.0,34.8,36.0,37.8,38.2,38.4,34.0,26.6,28.6,32.2,35.0,36.0,37.8,40.0,42.0,38.6,38.6,32.4,26.6,33.4,36.0,37.2,40.0,40.0,46.2,41.0,38.6,35.8,39.0,36.2,38.8,38.2,40.0,40.0,46.2,43.6,37.0,36.0,37.0,37.2,38.0,37.2,38.4,40.0,46.2,46.2,36.0,36.0,35.8,36.4,36.0,36.2,36.2,37.4,25.2,25.2,32.6,35.2,36.4,34.2,32.6,34.2,36.2,36.2,25.2,25.2,29.2,35.2,35.2,33.6,32.6,32.6,34.2,36.2,26.6,26.6,30.6,35.2,35.2,35.2,33.6,32.6,32.6,34.2,28.4,28.4,31.0,35.2,35.2,35.2,35.2,33.2,32.6,32.6
NO.9,28.0,28.0,24.0,25.0,35.0,35.0,35.0,31.0,29.0,26.0,29.0,30.0,26.0,18.0,23.0,29.0,31.0,29.0,26.0,25.0,32.0,32.0,32.0,25.0,18.0,25.0,29.0,27.0,25.0,25.0,33.0,32.0,32.0,30.0,33.0,28.0,27.0,27.0,25.0,25.0,33.0,32.0,32.0,32.0,32.0,32.0,32.0,29.0,25.0,25.0,33.0,33.0,32.0,32.0,32.0,33.0,37.0,27.0,27.0,26.0,19.0,19.0,26.0,29.0,33.0,29.0,23.0,27.0,27.0,27.0,19.0,19.0,22.0,25.0,25.0,24.0,23.0,23.0,25.0,27.0,22.0,22.0,23.0,25.0,25.0,25.0,24.0,23.0,23.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,23.0,23.0,23.0
