name,data
<<<<<<< HEAD
NO.0,170,170,170,144,156,156,156,170,170,170,170,170,170,125,142,164,170,170,170,170,170,170,170,170,125,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,167,167,170,170,170,170,170,170,170,170,167,167,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
NO.1,170,170,142,113,142,142,142,142,142,142,170,170,142,85,113,113,142,142,142,142,142,142,142,113,85,113,142,142,142,142,142,142,142,142,142,113,113,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,170,170,170,142,142,142,113,113,142,142,170,142,142,142,142,142,113,113,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
NO.2,113,113,85,85,85,85,85,85,85,85,85,85,85,57,85,85,85,85,85,85,85,85,85,85,57,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,113,113,85,85,85,57,57,85,85,113,85,85,85,85,85,57,57,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
NO.3,57,57,57,57,85,85,85,85,85,85,57,57,57,57,57,85,85,85,85,85,57,57,57,57,57,57,85,85,85,85,85,57,57,57,85,57,57,85,85,85,85,85,57,85,85,85,57,57,85,85,85,85,85,85,85,85,57,57,57,57,57,57,57,57,85,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,28,28,57,57,57,57,57,57,57,57
NO.4,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,113,113,113,85,85,85,85,85,85,85,113,113,113,113,113,85,85,85,85,85,113,113,113,113,113,85,85,85,85,85,113,113,113,113,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
NO.5,85,85,85,85,85,85,85,85,85,85,85,85,85,57,85,85,85,85,85,85,85,85,85,85,57,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,57,57,85,57,57,85,85,85,85,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
NO.6,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,113,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,57,57,85,85,85,85,85,85,85,85,57,57,57,85,85,85,85,85,85,85,57,57,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
NO.7,85,85,85,85,85,85,85,85,113,113,85,85,85,85,85,85,85,113,113,113,85,85,85,85,85,85,113,113,113,113,85,85,85,85,113,85,113,113,113,113,85,85,85,113,113,85,85,85,113,113,85,85,113,113,85,85,85,85,85,113,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
NO.8,113,113,113,85,85,85,85,85,113,113,113,142,142,85,85,85,85,113,113,113,142,170,170,113,85,113,113,113,113,113,85,142,170,142,113,113,113,113,113,113,85,113,142,113,113,113,113,113,113,113,85,85,113,113,113,113,113,113,113,113,85,85,113,113,113,113,113,113,113,113,85,85,113,113,113,113,113,113,113,113,85,85,113,113,113,113,113,113,113,113,85,85,113,113,113,113,113,113,113,113
NO.9,113,113,113,113,85,85,85,85,113,113,170,170,170,113,113,85,113,113,113,113,170,198,198,170,113,142,113,113,113,113,85,170,198,170,170,142,113,113,113,113,85,170,170,170,170,142,113,113,113,113,85,85,170,170,170,142,142,142,142,113,85,85,113,142,142,142,113,142,142,142,85,85,85,113,113,113,113,113,113,142,85,85,85,113,113,113,113,113,113,113,85,85,85,113,113,113,113,113,113,113
NO.10,113,113,105,91,94,94,94,105,116,113,113,113,113,94,91,94,110,116,113,125,113,113,113,102,94,113,116,116,125,125,113,113,113,119,122,122,119,116,125,125,113,113,116,116,119,122,116,116,113,125,113,113,116,116,119,122,125,119,119,113,110,110,113,116,122,122,116,119,119,119,110,110,110,116,116,113,116,116,116,119,108,108,108,116,116,116,113,116,116,116,102,102,108,116,116,116,116,116,116,116
NO.11,108,108,91,85,96,96,96,96,96,108,108,113,91,79,85,85,96,96,108,113,125,113,113,85,79,91,96,113,113,113,125,119,113,102,113,102,113,113,113,113,125,125,113,102,113,113,108,108,108,113,125,125,102,102,96,108,108,108,108,108,68,68,91,96,108,91,85,91,108,108,68,68,85,102,102,91,85,85,91,108,74,74,85,102,102,102,91,85,85,91,85,85,85,102,102,102,102,85,85,85
NO.12,85,85,57,57,85,85,85,85,85,85,85,85,85,57,57,85,85,85,85,57,85,85,85,57,57,57,85,85,57,57,85,85,85,85,85,85,85,85,57,57,85,85,85,85,85,85,85,85,57,57,85,85,85,85,85,85,113,85,85,85,57,57,85,85,85,85,57,85,85,85,57,57,57,57,57,57,57,57,57,85,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
NO.13,57,57,57,57,85,85,85,57,57,57,57,57,57,28,57,57,57,57,57,57,57,57,57,28,28,85,57,113,57,57,57,57,57,57,57,113,170,113,57,57,57,57,57,57,57,85,57,85,57,57,57,57,57,57,57,85,85,57,57,57,28,28,57,57,85,57,57,57,57,57,28,28,28,57,57,57,57,57,57,57,28,28,57,57,57,57,57,57,57,57,28,28,57,57,57,57,57,57,57,57
